""
"Indicator name: Methane (CH4) emissions, per capita  Data Source: null(http://edgar.jrc.ec.europa.eu/), European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGAR v5.0 (1970 - 2015) of November 2019.(http://edgar.jrc.ec.europa.eu/)"
"Description: CH4 emission divided by the population expressed in kilogram per capita. CH4 emission is estimated using a model from the National Institute for Public Health and the Environment, the Netherlands (RIVM) by the following EDGAR divisions: energy, agriculture, waste and others. Others include industrial process emissions, nitrous oxide usage and tropical and temperate forest fires."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1982","439135.58"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1983","456431.83"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1984","467335.11"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1985","459687.77"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1986","470441.84"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1987","503110.40"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1988","518309.57"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1989","535987.82"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1990","551040.07"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1991","560848.40"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1992","565738.89"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1993","553020.85"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1994","572295.36"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1995","629824.91"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1996","670359.26"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1997","606953.50"
